week,passing_epa,completions,attempts,passing_yards,passing_tds,interceptions,sacks,pacr
14,-9.563635846828337,18,26,119,2,1,1,1.091743119266055
15,9.947751399060019,23,28,218,3,0,1,1.217877094972067
16,0.7056747059687041,27,40,319,3,1,2,0.843915343915344
17,9.247694994742734,24,32,197,2,0,1,1.1939393939393939
18,14.978746151984353,22,28,264,4,0,2,1.1330472103004292
14,-1.6931319367140532,1,1,-1,0,0,0,0
18,-3.5579401078866795,3,4,20,0,0,1,0
1,13.086084981785486,20,26,200,2,1,0,1.092896174863388
2,-2.0070985654510527,16,24,185,1,2,0,0.9736842105263158
3,-8.352473780592542,28,44,324,2,3,4,0.7105263157894737
5,-0.7268434750931592,22,31,208,1,1,3,1.3506493506493507
6,5.130306091690607,14,22,162,1,1,0,1.1824817518248176
8,-24.156507637933828,10,21,126,0,1,6,0.5384615384615384
18,-2.135103028267622,0,1,0,0,0,1,0
3,-2.519490228338142,10,16,101,0,0,1,0.696551724137931
4,-2.82205399236409,0,1,0,0,1,0,0
5,NA,0,0,0,0,0,0,NA
10,-4.560712916892953,13,25,122,2,2,1,0.3152454780361757
13,0.11323756276397035,2,5,41,0,0,0,0.9111111111111111
14,NA,0,0,0,0,0,0,NA
8,6.048243212197201,12,21,175,1,0,1,0.8663366336633663
9,-1.4887448844313336,21,38,268,1,1,1,0.6854219948849105
10,-7.530447752532551,8,15,55,1,0,3,0.6547619047619048
16,7.642198999814564,23,33,229,1,0,1,1.5266666666666666
17,-6.314528683457766,10,29,163,1,3,2,0.5275080906148867
13,-7.564943343139021,5,13,66,0,0,3,0.5409836065573771
15,-9.411222703638487,14,26,110,0,2,2,0.46808510638297873
16,-15.972939805726302,27,49,217,1,1,0,1.75
17,-10.637966791807788,32,45,261,1,1,2,1.5
18,-11.007632592412083,8,20,70,0,0,1,0.44025157232704404
13,-0.3476434804033488,2,3,16,0,0,0,3.2
18,-4.762452383960964,13,20,148,1,1,3,0.8554913294797688
18,-10.957208045409061,13,26,166,2,2,3,0.7155172413793104
18,7.064853062212933,17,24,163,2,1,2,1.0251572327044025
1,4.17848433913809,13,24,143,0,0,0,0.8881987577639752
2,10.077872056186449,31,38,255,2,0,1,1.536144578313253
3,-3.659614854047325,25,40,249,1,1,2,1.2087378640776698
4,3.933240894897108,28,34,261,1,0,3,1.2608695652173914
5,-12.18878598313313,14,24,153,1,3,3,0.5032894736842105
6,6.778182700220884,21,30,272,1,0,5,1.0264150943396226
8,11.593556129590604,25,31,304,4,1,3,1.1301115241635689
9,12.918436241445182,29,44,374,3,0,5,0.8904761904761904
10,16.128327141632326,26,35,404,4,1,0,1.0548302872062663
11,7.6395618677019,25,38,189,2,0,0,0.9043062200956937
12,18.192239626375578,22,32,331,4,0,0,0.7042553191489361
13,13.770497584657994,29,41,299,3,0,4,1.2510460251046025
14,-0.054984303969386916,24,39,271,2,0,3,1.018796992481203
15,-12.449003155246528,21,34,134,0,1,3,0.5234375
16,8.432478624566755,20,32,253,2,0,4,1.4293785310734464
17,11.299152896313498,26,38,345,2,1,3,0.8756345177664975
18,22.099422981782563,31,36,279,4,1,0,1.4919786096256684
1,6.543756803672295,22,35,253,1,0,1,1.0630252100840336
2,8.152201352508701,28,35,323,3,1,2,1.1137931034482758
3,2.7206899089548573,22,33,243,1,1,0,0.8933823529411765
4,2.4591233149722904,19,28,210,1,1,2,1.1666666666666667
5,5.771698093274608,20,28,236,3,0,2,1.4842767295597483
6,17.925803287663015,30,44,353,2,0,3,1.3074074074074074
7,-12.379357203666586,33,53,284,0,1,5,0.8328445747800587
8,2.3991140622339024,26,37,272,1,1,0,1.590643274853801
10,14.826729859458283,23,33,333,2,0,0,1.3591836734693878
11,-2.145054559397977,23,35,236,2,3,2,0.963265306122449
12,-5.440493225352839,29,44,332,2,0,3,1.0440251572327044
13,8.439438044373311,16,25,213,2,0,1,1.1899441340782122
14,-6.335564998094924,20,35,161,1,2,4,0.6764705882352942
15,15.231727600214072,24,34,278,5,0,2,0.9586206896551724
16,14.274304325256997,30,40,257,1,0,1,1.7248322147651007
17,-1.6409641929907326,19,34,271,1,2,1,1.2098214285714286
18,10.87409844600108,23,32,320,2,0,1,1.2549019607843137
15,9.427990246273112,8,10,124,2,0,0,1.1272727272727272
16,6.947744549863273,10,13,100,1,0,0,1.4705882352941178
6,-14.264403022690109,18,34,192,0,2,2,0.8067226890756303
7,-3.3300769146376688,15,32,178,0,1,2,0.7091633466135459
8,-5.688340737857574,15,31,248,1,2,3,0.8763250883392226
10,-0.2794255707995035,0,1,0,0,0,0,0
12,-11.402487118903082,6,13,56,0,0,4,0.5957446808510638
14,1.6778485485701822,9,13,83,0,0,0,0.8556701030927835
15,11.740158662526127,26,33,303,2,2,3,1.4093023255813955
16,5.6913213593070395,22,36,411,2,4,4,0.7798861480075902
17,-4.1967074410640635,13,22,113,1,0,1,0.8014184397163121
18,-2.6157523604154265,30,44,396,2,2,4,0.99
1,NA,0,0,0,0,0,0,NA
2,0.5803323040599935,1,1,8,0,0,0,1.6
3,NA,0,0,0,0,0,0,NA
4,-0.3197493079351261,1,1,13,0,0,1,1.625
5,NA,0,0,0,0,0,0,NA
6,0.08685685053933412,1,1,4,0,0,0,1
7,NA,0,0,0,0,0,0,NA
8,2.595579115615692,1,2,44,0,0,0,0.8979591836734694
9,0.8065087035065517,1,1,3,1,0,0,1
10,NA,0,0,0,0,0,0,NA
12,NA,0,0,0,0,0,0,NA
13,-1.4256790415383875,0,2,0,0,0,0,0
15,-0.5991178345866501,0,1,0,0,0,0,0
16,NA,0,0,0,0,0,0,NA
17,0.49068568175425753,1,2,11,0,0,0,0
18,-0.7570095867849886,0,0,0,0,0,1,NA
1,-10.871305896014098,16,29,154,1,1,3,0.46808510638297873
2,-15.953177403144817,22,40,235,1,1,6,0.5949367088607594
3,12.508116518452686,27,33,289,2,0,3,1.0625
7,-5.8757238739635795,1,5,5,0,1,0,0.09615384615384616
9,1.4342772680909022,19,30,219,2,0,1,1.037914691943128
10,-0.1923484141191314,20,34,213,1,1,4,0.6377245508982036
1,-2.601653972407803,0,1,0,0,0,0,0
4,1.5769879361032508,2,2,20,0,0,0,1
